model,layer,lat
asr,inner1,9.5698
asr,sig1,0.09169999999999998
asr,inner2,46.273
asr,sig2,0.06440000000000001
asr,inner3,46.8699
asr,sig3,0.054599999999999996
asr,inner4,46.5052
asr,sig4,0.05049999999999999
asr,inner5,47.96079999999999
asr,sig5,0.05079999999999999
asr,inner6,46.9774
asr,sig6,0.0474
asr,final_inner,39.3942
imc,conv1,0.30029999999999996
imc,relu1,0.042699999999999995
imc,pool1,0.0372
imc,norm1,0.0671
imc,conv2,0.2713
imc,relu2,0.034100000000000005
imc,pool2,0.034
imc,norm2,0.06459999999999999
imc,conv3,0.4572
imc,relu3,0.03420000000000001
imc,conv4,0.9991
imc,relu4,0.03420000000000001
imc,conv5,0.9430999999999999
imc,relu5,0.0392
imc,pool5,0.03799999999999999
imc,fc6,63.74710000000001
imc,relu6,0.05369999999999999
imc,drop6,0.0015000000000000002
imc,fc7,11.4054
imc,relu7,0.04699999999999999
imc,drop7,0.0007
imc,fc8,2.8982
imc,prob,0.047599999999999996
imc,argmax,0.1937
face,conv1,0.192
face,pool2,0.038599999999999995
face,conv3,0.19059999999999996
face,local4,108.0826
face,local5,15.438799999999997
face,local6,5.913099999999999
face,fc7,19.8846
face,fc8,0.49499999999999994
face,prob,0.048799999999999996
face,argmax,0.18480000000000002
dig,conv1,0.2211
dig,pool1,0.040499999999999994
dig,conv2,0.1482
dig,pool2,0.034999999999999996
dig,ip1,11.7011
dig,relu1,0.05169999999999999
dig,ip2,0.25770000000000004
dig,prob,0.04189999999999999
dig,argmax,0.5028000000000001
dig-10,conv1,0.2109
dig-10,pool1,0.04329999999999999
dig-10,conv2,0.195
dig-10,pool2,0.03480000000000001
dig-10,ip1,1.0977000000000001
dig-10,relu1,0.04089999999999999
dig-10,ip2,0.2285
dig-10,prob,0.03919999999999999
dig-10,argmax,0.1891
pos,fc1,0.2981
pos,htanh,0.041999999999999996
pos,fc3,0.1995
ner,fc1,0.3168
ner,htanh,0.0377
ner,fc3,0.19020000000000004
chk,fc1,0.2955
chk,htanh,0.0402
chk,fc3,0.1936
vgg,conv1_1,0.2631
vgg,relu1_1,0.052700000000000004
vgg,conv1_2,0.1747
vgg,relu1_2,0.03749999999999999
vgg,pool1,0.041999999999999996
vgg,conv2_1,0.5085
vgg,relu2_1,0.04129999999999999
vgg,conv2_2,0.5498
vgg,relu2_2,0.03849999999999999
vgg,pool2,0.04209999999999999
vgg,conv3_1,0.8132999999999999
vgg,relu3_1,0.0387
vgg,conv3_2,0.5115999999999999
vgg,relu3_2,0.10540000000000001
vgg,conv3_3,0.5459
vgg,relu3_3,0.04619999999999999
vgg,conv3_4,0.5889
vgg,relu3_4,0.043599999999999986
vgg,pool3,0.0418
vgg,conv4_1,2.9510999999999994
vgg,relu4_1,0.0509
vgg,conv4_2,0.5628
vgg,relu4_2,0.03699999999999999
vgg,conv4_3,0.5008
vgg,relu4_3,0.038099999999999995
vgg,conv4_4,0.4969
vgg,relu4_4,0.03609999999999999
vgg,pool4,0.03699999999999999
vgg,conv5_1,0.5782999999999999
vgg,relu5_1,0.0388
vgg,conv5_2,0.5050000000000001
vgg,relu5_2,0.036199999999999996
vgg,conv5_3,0.49899999999999994
vgg,relu5_3,0.0368
vgg,conv5_4,0.5741
vgg,relu5_4,0.036800000000000006
vgg,pool5,0.035500000000000004
vgg,fc6,707.2840000000001
vgg,relu6,0.05620000000000001
vgg,drop6,0.0015
vgg,fc7,11.4378
vgg,relu7,0.045599999999999995
vgg,drop7,0.0008
vgg,fc8,2.8110000000000004
vgg,prob,0.04839999999999999
vgg,argmax,0.20829999999999999